iter	Passed	Remaining
0	17	17057
1	31	15822
2	46	15401
3	60	15170
4	75	15121
5	91	15177
6	108	15339
7	124	15432
8	140	15430
9	155	15397
10	171	15386
11	185	15256
12	199	15180
13	214	15130
14	229	15039
15	243	14995
16	258	14936
17	273	14898
18	288	14895
19	302	14840
20	317	14782
21	331	14720
22	345	14691
23	360	14675
24	376	14690
25	390	14646
26	405	14615
27	421	14619
28	436	14600
29	449	14527
30	464	14518
31	479	14499
32	494	14477
33	509	14469
34	524	14464
35	538	14422
36	553	14411
37	567	14379
38	582	14346
39	596	14310
40	610	14288
41	627	14308
42	642	14295
43	656	14256
44	669	14216
45	684	14198
46	698	14164
47	712	14132
48	726	14109
49	742	14100
50	757	14092
51	772	14077
52	788	14085
53	803	14078
54	817	14051
55	832	14037
56	847	14028
57	862	14005
58	877	13988
59	892	13980
60	907	13962
61	921	13939
62	935	13915
63	949	13891
64	963	13865
65	978	13852
66	994	13848
67	1009	13835
68	1025	13831
69	1040	13820
70	1054	13793
71	1069	13785
72	1084	13773
73	1099	13757
74	1114	13750
75	1129	13734
76	1144	13723
77	1188	14046
78	1213	14146
79	1230	14151
80	1247	14148
81	1263	14139
82	1279	14132
83	1294	14120
84	1310	14101
85	1325	14087
86	1341	14082
87	1357	14064
88	1373	14056
89	1387	14029
90	1401	14001
91	1416	13978
92	1431	13960
93	1444	13926
94	1458	13894
95	1472	13867
96	1487	13847
97	1502	13825
98	1516	13806
99	1531	13782
100	1547	13773
101	1562	13752
102	1575	13723
103	1590	13700
104	1606	13691
105	1621	13674
106	1636	13659
107	1651	13640
108	1666	13619
109	1680	13593
110	1694	13570
111	1708	13542
112	1723	13526
113	1738	13507
114	1752	13488
115	1767	13470
116	1781	13445
117	1795	13422
118	1811	13407
119	1826	13393
120	1841	13379
121	1856	13363
122	1871	13346
123	1887	13336
124	1903	13322
125	1918	13306
126	1933	13287
127	1948	13272
128	1962	13249
129	1976	13227
130	1991	13208
131	2004	13184
132	2019	13165
133	2034	13150
134	2048	13126
135	2063	13109
136	2078	13092
137	2092	13072
138	2106	13048
139	2120	13028
140	2135	13011
141	2150	12991
142	2164	12971
143	2179	12954
144	2194	12941
145	2210	12927
146	2223	12904
147	2238	12883
148	2253	12868
149	2267	12849
150	2282	12831
151	2295	12807
152	2310	12788
153	2324	12767
154	2338	12746
155	2354	12736
156	2370	12725
157	2384	12709
158	2399	12692
159	2414	12678
160	2429	12662
161	2443	12641
162	2458	12624
163	2473	12607
164	2487	12588
165	2502	12571
166	2518	12562
167	2532	12543
168	2547	12528
169	2562	12512
170	2577	12494
171	2591	12475
172	2606	12461
173	2622	12447
174	2635	12425
175	2650	12408
176	2664	12387
177	2679	12374
178	2693	12355
179	2708	12340
180	2723	12322
181	2738	12308
182	2754	12297
183	2768	12279
184	2783	12260
185	2797	12242
186	2813	12230
187	2827	12211
188	2842	12196
189	2858	12184
190	2872	12165
191	2886	12148
192	2900	12128
193	2914	12108
194	2928	12090
195	2943	12073
196	2958	12061
197	2973	12045
198	2988	12029
199	3003	12012
200	3017	11996
201	3032	11979
202	3047	11963
203	3063	11953
204	3078	11938
205	3094	11926
206	3109	11911
207	3124	11897
208	3138	11879
209	3153	11863
210	3168	11848
211	3182	11829
212	3196	11812
213	3210	11793
214	3225	11775
215	3240	11761
216	3255	11746
217	3268	11725
218	3283	11710
219	3298	11693
220	3313	11678
221	3326	11659
222	3342	11645
223	3356	11628
224	3371	11613
225	3385	11593
226	3399	11575
227	3413	11559
228	3428	11541
229	3442	11525
230	3456	11507
231	3470	11489
232	3486	11476
233	3500	11458
234	3515	11443
235	3530	11427
236	3544	11412
237	3560	11399
238	3576	11386
239	3590	11371
240	3606	11358
241	3621	11341
242	3636	11327
243	3649	11308
244	3664	11293
245	3679	11276
246	3693	11260
247	3707	11240
248	3721	11225
249	3736	11210
250	3749	11189
251	3764	11173
252	3778	11156
253	3794	11143
254	3808	11127
255	3823	11112
256	3838	11096
257	3852	11081
258	3868	11067
259	3882	11049
260	3897	11034
261	3912	11020
262	3926	11004
263	3941	10987
264	3957	10975
265	3972	10960
266	3986	10944
267	4001	10930
268	4017	10916
269	4032	10902
270	4047	10887
271	4061	10870
272	4075	10853
273	4089	10836
274	4105	10822
275	4120	10807
276	4134	10790
277	4147	10772
278	4163	10759
279	4177	10743
280	4192	10727
281	4207	10711
282	4222	10698
283	4238	10686
284	4253	10671
285	4270	10660
286	4285	10646
287	4300	10632
288	4315	10618
289	4330	10602
290	4345	10586
291	4359	10569
292	4374	10555
293	4388	10537
294	4402	10520
295	4416	10505
296	4430	10488
297	4446	10473
298	4460	10457
299	4475	10442
300	4489	10425
301	4503	10409
302	4518	10393
303	4533	10379
304	4548	10363
305	4562	10347
306	4577	10333
307	4592	10319
308	4605	10300
309	4619	10282
310	4633	10264
311	4648	10251
312	4664	10237
313	4678	10221
314	4693	10205
315	4708	10190
316	4724	10178
317	4740	10166
318	4754	10150
319	4770	10137
320	4786	10124
321	4801	10110
322	4816	10094
323	4830	10078
324	4845	10062
325	4859	10047
326	4873	10030
327	4888	10014
328	4903	10000
329	4918	9986
330	4934	9972
331	4949	9958
332	4963	9942
333	4978	9927
334	4994	9913
335	5009	9899
336	5023	9883
337	5039	9870
338	5054	9855
339	5068	9839
340	5083	9823
341	5098	9808
342	5113	9795
343	5128	9780
344	5144	9767
345	5160	9754
346	5175	9739
347	5191	9726
348	5207	9713
349	5221	9697
350	5234	9679
351	5250	9666
352	5266	9653
353	5281	9637
354	5296	9622
355	5312	9609
356	5327	9596
357	5343	9582
358	5357	9566
359	5374	9554
360	5389	9539
361	5404	9524
362	5418	9509
363	5433	9493
364	5448	9479
365	5463	9464
366	5478	9449
367	5493	9434
368	5509	9421
369	5525	9408
370	5541	9394
371	5557	9381
372	5572	9366
373	5587	9351
374	5602	9338
375	5617	9323
376	5632	9308
377	5647	9293
378	5662	9278
379	5679	9266
380	5693	9250
381	5708	9235
382	5723	9220
383	5740	9208
384	5755	9193
385	5771	9180
386	5787	9167
387	5803	9153
388	5818	9138
389	5832	9123
390	5848	9108
391	5863	9094
392	5879	9081
393	5895	9067
394	5910	9052
395	5925	9038
396	5940	9023
397	5956	9009
398	5970	8993
399	5986	8979
400	6000	8963
401	6015	8948
402	6030	8933
403	6045	8918
404	6059	8902
405	6076	8889
406	6091	8875
407	6107	8861
408	6123	8848
409	6138	8833
410	6152	8817
411	6167	8802
412	6181	8786
413	6196	8770
414	6212	8757
415	6227	8742
416	6244	8729
417	6260	8716
418	6275	8701
419	6290	8687
420	6306	8673
421	6323	8660
422	6338	8646
423	6353	8630
424	6368	8616
425	6383	8601
426	6399	8587
427	6414	8573
428	6430	8558
429	6444	8542
430	6460	8529
431	6476	8514
432	6492	8501
433	6508	8488
434	6523	8473
435	6540	8460
436	6555	8445
437	6570	8430
438	6585	8415
439	6600	8400
440	6615	8385
441	6629	8369
442	6643	8353
443	6658	8338
444	6674	8323
445	6689	8309
446	6704	8294
447	6719	8278
448	6733	8263
449	6748	8247
450	6762	8231
451	6776	8215
452	6791	8201
453	6806	8185
454	6822	8172
455	6838	8158
456	6853	8142
457	6868	8128
458	6883	8113
459	6899	8099
